activity_id,activity_type,start_date,end_date,web_url,news_url,participation_type,city,host,venue_lat,venue_lon,cost
2018-01-15-network-design,Network Design,2018-01-15,2018-01-19,https://nsrc.org/workshops/2018/tenet-nsrc-cndo/,NA,in person,Cape Town,TENET,-34.0029562,18.4655539,NA
2018-02-21-ttt,Train the Trainer,2018-02-21,2018-02-23,https://tenet-rccpii.github.io/2018-02-21-South-Africa-ttt/,https://tenet-rccpii.github.io/rccpii-2018/carpentries/instructor-training-feedback/,in person,Kleinmond,RCCPII,-34.3404896,19.0297542,NA
2018-02-22-instructor-meetup,Trainer Mentoring,2018-02-22,2018-02-22,https://pad.carpentries.org/ZA-community-call,NA,online,online,RCCPII,-34.186329,22.668051,0
2018-02-22-tf,Community Building,2018-02-22,2018-02-23,https://tenet-rccpii.github.io/2018-02-22-CarpentriesTaskForce/,NA,in person,Kleinmond,RCCPII,-34.3404896,19.0297542,NA
2018-03-15-carpentry-workshop,Carpentries Workshop,2018-03-15,2018-03-16,https://katrintirok.github.io/2018-03-15-satRday/,https://software-carpentry.org/blog/2017/12/satRday-cape-town-2018.html,in person,Cape Town,University of Cape Town,-33.9431549,18.4630851,NA
2018-03-20-online-mentoring,Trainer Mentoring,2018-03-20,2018-04-24,https://tenet-rccpii.github.io/2018-03-20-online/,https://tenet-rccpii.github.io/rccpii-2018/carpentries/online-mentorship/,online,online,RCCPII,-34.186329,22.668051,0
2018-03-22-instructor-meetup,Trainer Mentoring,2018-03-22,2018-03-22,https://pad.carpentries.org/ZA-community-call,NA,online,online,RCCPII,-34.186329,22.668051,0
2018-03-23-econversation,eConversations,2018-03-23,2018-03-23,https://www.quicket.co.za/events/27507-rccp-ii-econversation-series-1-virtual-platforms-for-collaboration-and-research/,NA,online,online,RCCPII,-34.186329,22.668051,0
2018-04-06-carpentry-workshop,Carpentries Workshop,2018-04-06,2018-04-06,https://tenet-rccpii.github.io/2018-04-06-GalaxyConf-R/,https://www.sanbi.ac.za/galaxy-africa-2018/,in person,Bellville,University of the Western Cape,-33.9335158,18.6257693,NA
2018-04-20-econversation,eConversations,2018-04-20,2018-04-20,https://www.quicket.co.za/events/42911-rccp-ii-econversation-series-2-joining-the-south-african-r-community/,NA,online,online,RCCPII,-34.186329,22.668051,0
2018-04-26-instructor-meetup,Trainer Mentoring,2018-04-26,2018-04-26,https://pad.carpentries.org/ZA-community-call,NA,online,online,RCCPII,-34.186329,22.668051,0
