affiliation,abbrev_affiliation,campus,city,lat,long
Academy of Science of South Africa,ASSAf,Pretoria,Pretoria,-25.7457127,28.2727777
Addis Ababa Institute of Technology,AAIT,Addis Ababa,Addis Ababa,9.0403913,38.7611334
Addis Ababa University,AAU,Addis Ababa,Addis Ababa,9.0404177,38.7545673
Altmetric,Altmetric,London,London,51.5287352,-0.3817867
Aros,Aros,Pretoria,Pretoria,-25.6992904,28.2416322
Biosafety South Africa,Biosafety SA,Cape Town,Somerset West,-34.0880297,18.8218194
British Ornithologist's Union,BOU,UK,London,51.5287352,-0.3817867
Brown University,Brown University,USA,Providence,41.8267758,-71.4047369
Cape Peninsula University of Technology,CPUT,Bellville,Bellville,-33.9167497,18.4579566
Cape Peninsula University of Technology,CPUT,District Six,Zonnebloem,-33.9305569,18.4298997
Central University of Technology,CUT,Bloemfontein,Bloemfontein,-29.1216542,26.2106417
Centre for Proteomics and Genomics Research,CPGR,Observatory,Observatory,-33.9415,18.4645214
Consiglio Nazionale delle Ricerche,CNR,Italy,Rome,41.9097086,12.482852
Crimson Interactive,Crimson Interactive,Johannesburg,Johannesburg,-26.1450636,28.0332533
Digidata,Digidata,Johannesburg,Johannesburg,-26.0942672,28.0086503
DIRISA,DIRISA,Pretoria,Pretoria,-25.7558488,28.2758263
Durban University of Technology,DUT,Durban,Durban,-29.860833,31.010556
Durban University of Technology,DUT,ML Sultan,Durban,-29.849444,31.010833
Durban University of Technology,DUT,Ritson,Durban,-29.851389,31.007222
Durban University of Technology,DUT,Riverside,Pietermaritzburg,-29.6057109,30.3783013
Durban University of Technology,DUT,Steve Biko,Durban,-29.8525,31.003611
EcoTopic,EcoTopic,Durban,Durban,-29.864882,30.994
Education Strategy Centre,ESC,Addis Ababa,Addis Ababa,9.0326209,38.7607647
Eiffelcorp,Eiffelcorp,Cape Town,Fish Hoek,-34.1318259,18.4323016
European Molecular Biology Laboratory,EMBL,Heidelberg,Heidelberg,49.3840635,8.7085683
Exegetic Analytics,Exegetic Analytics,Durban,Durban,-29.869882,30.9905
