identifier,based,affiliation,campus,gender,race,discipline,job_role
B0001,South Africa,University of KwaZulu-Natal,Pietermaritzburg,male,Black,Natural Sciences,Postgraduate student
B0002,South Africa,University of Cape Town,Lower,male,Coloured,IT,Support staff
B0003,South Africa,North-West University,Mahikeng,female,Black,Natural Sciences,Postgraduate student
B0004,South Africa,North-West University,Potchefstroom,male,White,Applied Sciences,Postgraduate student
B0005,South Africa,North-West University,Mahikeng,female,Black,Natural Sciences,Postgraduate student
B0006,South Africa,University of KwaZulu-Natal,Westville,male,Black,Unknown,Postgraduate student
B0007,South Africa,North-West University,Potchefstroom,female,White,IT,Support staff
B0008,South Africa,University of the Western Cape,Bellville,male,Black,Natural Sciences,Postgraduate student
B0009,South Africa,University of Cape Town,Upper,Unknown,Unknown,Formal Sciences,Research staff
B0010,South Africa,Stellenbosch University,Business School,Unknown,Unknown,Unknown,Unknown
B0011,South Africa,Two Oceans Graduate Institute,Cape Town,female,White,Humanities,Faculty
B0012,South Africa,Rhodes University,Grahamstown,female,Undisclosed,Applied Sciences,Postgraduate student
B0013,South Africa,Digidata,Johannesburg,Unknown,Unknown,Unknown,Industry
B0014,South Africa,Sol Plaatje University,Kimberley,male,Black,Natural Sciences,Faculty
B0015,Uganda,Ubuntunet Alliance,Uganda,Unknown,Unknown,IT,Support staff
B0016,South Africa,Mangosuthu University of Technology,Umlazi,male,Black,Formal Sciences,Faculty
B0017,South Africa,University of the Western Cape,Bellville,Unknown,Unknown,Unknown,Unknown
B0018,Italy,Consiglio Nazionale delle Ricerche,Italy,female,White,Applied Sciences,Support staff
B0019,South Africa,University of Limpopo,Turfloop,male,Black,IT,Support staff
B0020,South Africa,University of Venda,Thohoyandou,male,Black,Applied Sciences,Research staff
B0021,South Africa,University of Venda,Thohoyandou,male,Black,Libraries,Support staff
B0022,South Africa,Cape Peninsula University of Technology,Bellville,male,Coloured,IT,Support staff
B0023,South Africa,University of Johannesburg,Auckland Park,female,White,IT,Support staff
B0024,South Africa,Durban University of Technology,Ritson,female,Black,Formal Sciences,Postgraduate student
B0025,South Africa,Durban University of Technology,Durban,Unknown,Unknown,Unknown,Unknown
B0026,South Africa,University of the Free State,Bloemfontein,female,White,Natural Sciences,Postgraduate student
B0027,South Africa,University of the Western Cape,Bellville,female,Indian,Natural Sciences,Postgraduate student
B0028,South Africa,University of KwaZulu-Natal,Westville,Unknown,Unknown,Unknown,Unknown
B0029,South Africa,Stellenbosch University,Stellenbosch,female,White,Natural Sciences,Post-doctoral research fellow
B0030,South Africa,SADiLaR,Potchefstroom,female,Black,Humanities,Research staff
B0031,South Africa,Exegetic Analytics,Durban,Unknown,Unknown,Industry,Industry
B0032,South Africa,NRF-SAIAB,Grahamstown,male,White,IT,Support staff
B0033,South Africa,University of Limpopo,Turfloop,male,White,Humanities,Research staff
B0034,South Africa,University of Pretoria,Hatfield,male,Unknown,Natural Sciences,Postgraduate student
B0035,South Africa,Talarify,Talarify,female,White,Industry,Industry
B0036,South Africa,University of Venda,Thohoyandou,male,Black,Natural Sciences,Postgraduate student
B0037,South Africa,North-West University,Vaal Triangle,female,White,Social Sciences,Post-doctoral research fellow
B0038,South Africa,Durban University of Technology,Durban,Unknown,Unknown,Unknown,Unknown
B0039,South Africa,North-West University,Potchefstroom,female,White,Social Sciences,Faculty
