identifier,activity_id,participation_type,activity_role
B0001,2019-03-18-UKZN-ttt,in person,participant
B0002,2019-03-06-imf,in person,participant
B0003,2018-07-18-carpentry-workshop,in person,participant
B0004,2019-02-12-eConversation,online,participant
B0005,2018-07-11-carpentry-workshop,in person,helper
B0005,2018-07-18-carpentry-workshop,in person,participant
B0005,2018-10-31-carpentry-workshop,in person,helper
B0005,2019-01-24-instructor-meetup,online,participant
B0005,2019-02-28-instructor-meetup,online,participant
B0005,2019-03-12-econversation,online,participant
B0005,2019-02-12-eConversation,online,participant
B0005,2019-03-28-instructor-meetup,online,participant
B0006,2019-03-18-UKZN-ttt,in person,participant
B0007,2018-06-18-blended-learning-sig,in person,organiser
B0007,2019-03-12-econversation,online,participant
B0007,2019-02-12-eConversation,online,participant
B0007,2018-11-18-BlendedLearningSIG,in person,organiser
B0008,2018-04-06-carpentry-workshop,in person,participant
B0008,2018-04-20-econversation,online,participant
B0009,2018-07-26-instructor-meetup,online,participant
B0010,2018-11-18-BlendedLearningSIG,in person,participant
B0011,2019-02-12-eConversation,online,participant
B0012,2018-11-07-carpentry-workshop,in person,helper
B0012,2019-03-18-UKZN-ttt,in person,participant
B0012,2019-03-28-instructor-meetup,online,participant
B0013,2018-03-15-carpentry-workshop,in person,participant
B0014,2019-03-18-SPU,in person,participant
B0015,2019-03-06-imf,in person,instructor
B0016,2019-03-18-UKZN-ttt,in person,participant
B0016,2019-03-28-instructor-meetup,online,participant
B0017,2018-04-06-carpentry-workshop,in person,participant
B0018,2018-09-03-carpentry-workshop,in person,instructor
B0018,2018-09-03-CarpentryConnect-ttt,in person,participant
B0019,2018-09-03-carpentry-workshop,in person,participant
B0019,2018-09-03-CarpentryConnect-ttt,in person,participant
B0020,2018-04-20-econversation,online,participant
B0020,2018-05-24-instructor-meetup,online,participant
B0020,2018-11-13-carpentry-workshop,in person,instructor
B0021,2018-11-13-carpentry-workshop,in person,participant
B0022,2019-03-06-imf,in person,participant
B0023,2018-06-18-blended-learning-sig,in person,participant
B0024,2018-12-04-carpentry-workshop,in person,participant
B0025,2018-12-04-carpentry-workshop,in person,participant
B0026,2018-05-09-carpentry-workshop,in person,participant
B0027,2018-04-06-carpentry-workshop,in person,participant
B0027,2018-09-03-carpentry-workshop,in person,participant
B0027,2018-09-03-CarpentryConnect-ttt,in person,participant
B0028,2018-12-03-community-building,in person,participant
B0029,2018-02-21-ttt,in person,participant
B0029,2018-02-22-instructor-meetup,online,participant
B0030,2018-02-21-ttt,in person,participant
B0030,2018-02-22-instructor-meetup,online,participant
B0030,2018-09-03-carpentry-workshop,in person,helper
B0030,2019-01-30-carpentry-workshop,in person,helper
B0030,2018-07-27-econversation,online,participant
B0030,2019-02-12-eConversation,online,participant
B0031,2018-04-20-econversation,online,presenter
B0032,2019-03-06-imf,in person,participant
B0033,2018-06-18-blended-learning-sig,in person,participant
B0034,2018-03-15-carpentry-workshop,in person,helper
B0035,2018-02-21-ttt,in person,organiser
B0035,2018-02-22-instructor-meetup,online,host
B0035,2018-02-22-tf,in person,task force member
B0035,2018-03-20-online-mentoring,online,instructor
B0035,2018-03-23-econversation,online,presenter
B0035,2018-04-20-econversation,online,organiser
B0035,2018-04-26-instructor-meetup,online,host
B0035,2018-05-09-carpentry-workshop,online,organiser
B0035,2018-05-24-instructor-meetup,online,host
B0035,2018-05-25-econversation,online,organiser
B0035,2018-06-18-blended-learning-sig,in person,organiser
B0035,2018-07-11-carpentry-workshop,in person,instructor
B0035,2018-07-18-carpentry-workshop,online,organiser
B0035,2018-09-03-carpentry-workshop,in person,instructor
B0035,2018-09-03-CarpentryConnect-ttt,in person,instructor
B0035,2018-10-01-roadshow,in person,presenter
B0035,2018-10-31-carpentry-workshop,in person,instructor
B0035,2018-11-16-wc-community,in person,organiser
B0035,2018-12-04-carpentry-workshop,in person,instructor
B0035,2018-06-28-instructor-meetup,online,participant
B0035,2018-07-26-instructor-meetup,online,host
B0035,2018-08-23-instructor-meetup,online,host
B0035,2018-09-27-instructor-meetup,online,host
B0035,2018-10-25-instructor-meetup,online,host
B0035,2018-11-22-instructor-meetup,online,host
B0035,2019-01-24-instructor-meetup,online,participant
B0035,2019-02-28-instructor-meetup,online,host
B0035,2018-07-27-econversation,online,organiser
B0035,2019-03-01-econversation,online,organiser
B0035,2019-03-12-econversation,online,participant
B0035,2019-02-12-eConversation,online,participant
B0035,2018-11-18-BlendedLearningSIG,online,presenter
B0035,2019-03-18-SPU,NA,instructor
B0035,2019-03-28-instructor-meetup,online,organiser
B0036,2018-11-13-carpentry-workshop,in person,participant
B0037,2018-03-22-instructor-meetup,online,participant
B0037,2018-05-24-instructor-meetup,online,participant
B0037,2018-05-25-econversation,online,participant
B0037,2018-09-03-carpentry-workshop,in person,instructor
B0037,2018-12-03-community-building,in person,participant
B0037,2018-06-28-instructor-meetup,online,participant
B0037,2018-07-27-econversation,online,participant
B0038,2018-12-04-carpentry-workshop,in person,participant
B0039,2019-02-12-eConversation,online,participant
B0040,2018-03-15-carpentry-workshop,in person,participant
B0041,2018-10-31-carpentry-workshop,in person,participant
B0042,2018-05-09-carpentry-workshop,in person,participant
B0043,2018-01-15-network-design,in person,instructor
B0044,2018-10-31-carpentry-workshop,in person,participant
B0045,2018-02-21-ttt,in person,participant
B0045,2018-02-22-instructor-meetup,online,participant
B0045,2018-03-15-carpentry-workshop,in person,helper
B0045,2018-04-20-econversation,online,participant
B0045,2018-04-26-instructor-meetup,online,participant
B0045,2018-05-25-econversation,online,participant
B0045,2018-11-07-carpentry-workshop,in person,instructor
B0045,2018-11-16-wc-community,in person,participant
B0045,2018-08-23-instructor-meetup,online,participant
